query_idx,query_text,t_encode,t_search,t_retrieve_prompt,t_llm,t_total,num_docs_retrieved
0,does human hair stop squirrels,1.124524,0.078001,0.000032,3.557460,4.760017,3
1,what are the benefits of fossil fuels,0.280876,0.007989,0.000023,0.811654,1.100543,3
2,what is a apothem,0.051360,0.001053,0.000006,1.669802,1.722221,3
3,average cost for custom canopy,0.084138,0.010394,0.000025,1.573244,1.667802,3
4,what is a hardware in a computer,0.065825,0.001774,0.000009,4.295193,4.362801,3
5,edi logistics definition,0.405447,0.010232,0.000021,2.804835,3.220536,3
6,why should recreational marijuana be illegal,0.107870,0.005366,0.000018,3.774977,3.888231,3
7,what class are spiders in,0.507099,0.009558,0.000015,5.568769,6.085441,3
8,where is the amur leopard found,0.254923,0.007756,0.000020,1.597974,1.860674,3
9,how much does it cost to spayed my female rabbit,0.187955,0.001269,0.000007,1.751978,1.941210,3
10,what does proteus mirabilis look like,0.958494,0.012074,0.000027,3.644783,4.615380,3
11,is bougainvillea a shrub,0.759600,0.008720,0.000034,2.777130,3.545485,3
12,is oxyfluorfen safe on cotton,0.664441,0.001243,0.000007,2.607623,3.273314,3
13,what types of bacteria are found in the mouth,0.106342,0.010723,0.000020,5.343084,5.460169,3
14,is self insurance insurance or a deductible,0.268729,0.012435,0.000040,3.026871,3.308075,3
15,average wage of an actor,0.324713,0.012335,0.000035,2.617805,2.954888,3
16,how often should men get a PSA test,0.224726,0.010734,0.000024,3.631327,3.866812,3
17,what is financial assets,0.304428,0.010814,0.000021,2.774966,3.090229,3
18,Starch and _____ are common polysaccharide carbohydrates found in plants.,0.861166,0.009484,0.000035,3.536900,4.407587,3
19,is cypress community storage flooded,0.571408,0.022795,0.000025,3.609732,4.203960,3
20,what is a cost variance,0.375294,0.011271,0.000042,5.707138,6.093745,3
21,where does bacteria come from,0.556565,0.028137,0.000026,7.243151,7.827880,3
22,what are electromagnetic waves made of,0.984866,0.040861,0.000047,1.476889,2.502664,3
23,what causes inflamed pancreas,0.162535,0.004523,0.000045,3.691917,3.859021,3
24,what does the word starling mean,0.156082,0.012118,0.000033,6.121491,6.289723,3
25,what constitutes battery,0.579098,0.010008,0.000021,4.804986,5.394113,3
26,what causes yeast infection itching,0.543193,0.008650,0.000024,6.441119,6.992986,3
27,What is the difference between mastic and thinset?,0.628928,0.020878,0.000029,2.065768,2.715603,3
28,how long to steam artichokes in steamer,0.092163,0.001389,0.000011,4.136967,4.230530,3
29,why is glucose important,0.159643,0.010929,0.000022,2.868056,3.038650,3
30,temp chicken to be cook,0.160215,0.005080,0.000017,33.920008,34.085322,3
31,what is the postsynaptic density,1.946980,0.145884,0.000069,14.332352,16.425287,3
32,why is a minority discount applied,0.861559,0.024390,0.000041,5.231129,6.117120,3
33,nigel name meaning,0.715207,0.032741,0.000036,5.185024,5.933009,3
34,which bring electrical impulses toward a cell body,0.693833,0.028541,0.000103,9.183746,9.906223,3
35,what reform policies did mikhail gorbachev initiate,0.688712,0.024159,0.000035,3.548385,4.261291,3
36,definition of a business association,0.307647,0.012316,0.000031,6.020068,6.340063,3
37,what temperature degree to cook crepes at,0.663154,0.019824,0.000037,3.028583,3.711600,3
38,when must ira distributions begin,0.204230,0.014132,0.000041,5.487614,5.706018,3
39,what qualifications do a police officer need,0.181143,0.014179,0.000044,2.552321,2.747687,3
40,the progressive movement leader theodore roosevelt quizlet,0.130949,0.004584,0.000012,3.424278,3.559824,3
41,nervous system axon definition,0.236450,0.014426,0.000032,4.831979,5.082887,3
42,what is gilded glass,0.358685,0.026499,0.000416,5.707611,6.093212,3
43,define neutropenic fever,0.232908,0.014384,0.000031,3.243545,3.490869,3
44,subjectively define,0.118217,0.006351,0.000025,1.218593,1.343186,3
45,can prison help the borderline?,0.102563,0.001979,0.000010,2.886877,2.991428,3
46,average physician assistant salary boston ma,0.087489,0.001798,0.000009,2.729985,2.819281,3
47,what are herbaceous perennials,0.097156,0.014249,0.000027,3.195331,3.306763,3
48,what type of blood types are there,0.121396,0.006037,0.000011,2.167526,2.294970,3
49,how long to dwarf hamsters live,0.114608,0.019127,0.000026,2.735552,2.869312,3
50,what is the element family for plutonium,0.260512,0.011630,0.000033,3.280895,3.553072,3
51,where was miranda lambert born and raised,0.156787,0.011194,0.000028,3.758228,3.926237,3
52,what is commercial leasing,0.095485,0.001975,0.000007,3.639779,3.737247,3
53,what does the name lalita mean,0.193566,0.012877,0.000028,2.799930,3.006401,3
54,how long is your average period last,0.515139,0.014659,0.000022,4.205078,4.734898,3
55,what is reabsorbed in the proximal convoluted tubule,0.700739,0.012745,0.000031,2.759540,3.473055,3
56,what day did president obama declare the war is over,0.112532,0.001757,0.000010,3.782261,3.896560,3
57,what is torso,0.516664,0.012577,0.000023,4.635243,5.164508,3
58,how fast are hurricanes,0.221697,0.010527,0.000019,3.437976,3.670219,3
59,what did ancient greeks live in,0.145906,0.012641,0.000039,3.053943,3.212530,3
60,what does glucose blood test mean,0.123451,0.013460,0.000053,2.818019,2.954983,3
61,who was william beveridge,0.151533,0.020623,0.000072,3.570916,3.743144,3
62,how to reset an iphone with buttons,0.099648,0.002504,0.000013,1.341510,1.443675,3
63,where was the bauhaus built,0.055626,0.005656,0.000012,2.178572,2.239867,3
64,prepositional phrases that modify a verb are called,0.099176,0.002285,0.000011,2.544752,2.646224,3
65,what are some diseases caused diabetes,0.098280,0.007258,0.000025,4.146284,4.251848,3
66,average cost of patio roof,0.101017,0.001740,0.000007,2.706123,2.808888,3
67,average cost to process an invoice,0.146645,0.011603,0.000037,7.111891,7.270177,3
68,how much do eddie stobart pay,0.487576,0.010334,0.000025,2.229020,2.726955,3
69,do turtles carry disease,0.096063,0.001233,0.000010,2.123130,2.220437,3
70,is sponsorship advertising,0.215651,0.014624,0.000034,4.983490,5.213799,3
71,how much does itunes cost,0.483699,0.013212,0.000025,1.931017,2.427953,3
72,the terms of the treaty of versailles for kids,0.115908,0.007707,0.000015,3.331577,3.455208,3
73,ingested meaning in english,0.214641,0.010577,0.000018,2.070550,2.295786,3
74,what is an angiosperm answers,0.099112,0.002504,0.000015,2.826571,2.928202,3
75,average cost to install egress window,0.086220,0.010734,0.000018,3.248222,3.345194,3
76,where are rattlesnakes found in the world,0.454613,0.012189,0.000028,3.875507,4.342337,3
77,average price per pound for chicken foster farm,0.584926,0.010608,0.000024,4.092936,4.688496,3
78,where is meadowbank,0.743497,0.029380,0.000038,3.213042,3.985980,3
79,"Life expectancy in lincoln, ne",0.319567,0.015222,0.000049,2.998048,3.332887,3
80,what does pale stool mean,0.312018,0.009569,0.000025,2.607479,2.929092,3
81,what is iron vitamin good for,0.218518,0.021055,0.000035,5.534918,5.774527,3
82,what is a substation,0.515172,0.022138,0.000023,3.636692,4.174027,3
83,what is foie gras,0.425929,0.013281,0.000032,4.211791,4.651033,3
84,salary increase in mtn,0.613488,0.026763,0.000033,3.260976,3.901260,3
85,how long to broil round steak,0.167751,0.011825,0.000035,1.934217,2.113830,3
86,when was maurice tillet born,0.089734,0.001858,0.000009,2.410042,2.501643,3
87,what are lox food,0.350153,0.014937,0.000472,4.487508,4.853070,3
88,cost to build walmart supercenter,0.504584,0.008777,0.000027,2.714903,3.228291,3
89,how to use a semicolon in a letter,1.258189,0.009563,0.000020,1.523181,2.790953,3
90,who is stephen hawking family,0.086666,0.002851,0.000018,4.220580,4.310117,3
91,is randolph mantooth married,0.514289,0.019839,0.000019,1.938269,2.472417,3
92,what is dynamic muscle contraction,0.095076,0.001770,0.000012,1.617976,1.714835,3
93,electrician rates per hour,0.063145,0.005880,0.000015,4.566143,4.635184,3
94,what kind of insurance does a court reporter need,0.268723,0.009862,0.000016,2.467736,2.746339,3
95,do i need to send photos for passport renewal,0.161472,0.011183,0.000025,2.819572,2.992253,3
96,who won the second battle of bull run,0.084895,0.001686,0.000010,3.529031,3.615624,3
97,how long can you keep egg salad in fridge,0.528820,0.019681,0.000457,6.506567,7.055527,3
98,what is EIFS system,0.600546,0.012102,0.000044,6.441195,7.053887,3
99,what does accent,0.950423,0.014068,0.000021,3.137689,4.102202,3
